sales_month,sku,monthly_units_sum,month,monthly_sales,l15day_sales,l7day_sales,monthly_sales_bb,l15day_sales_bb,l7day_sales_bb,monthly_orders_bb,l15day_orders_bb,l7day_orders_bb,monthly_orders,l15day_orders,l7day_orders,monthly_units_ordered,l15day_units_ordered,l7day_units_ordered,monthly_units_ordered_bb,l15day_units_ordered_bb,l7day_units_ordered_bb,mon_unit_session_per_bb,l15day_unit_session_per_bb,l7day_unit_session_per_bb,mon_sessions,l15day_sessions,l7day_sessions,mon_page_views,l15day_page_views,l7day_page_views,rec_bb_per,monthly_bb_per,l15day_bb_per,l7day_bb_per,monthly_pv_per,l15day_pv_per,l7day_pv_per,rec_rank,rec_merc_listings,rec_fba_listing,old_rank,old_merc_listings,old_fba_listing,avg_rank_l15,avg_rank_monthly,avg_rank_f15,avg_merc_listings_l15,avg_merc_listings_f15,avg_merc_listings_monthly,avg_fbalistings_listings_l15,avg_fbalistings_listings_f15,avg_fbalistings_monthly,category,category_o
7,FBA-3131-0009,2,6,410.01,243.55,0,0,0,0,0,0,0,5,3,0,5,3,0,0,0,0,0,0,0,10,7,0,16,12,0,100,100,60,0,0,0,0,132197,0,0,100042,0,0,54382.961538,111182.84615,56799.884615,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3135-0004,1,6,24.99,24.99,0,24.99,24.99,0,1,1,0,1,1,0,1,1,0,1,1,0,10,10,0,10,10,0,12,12,0,0,0,0,0,0.01,0.01,0,77727,0,0,85864,0,0,28818.346154,54418.884615,25600.538462,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3135-0005,5,4,59.37,59.37,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,40,40,0,56,56,0,100,73,73,0,0.01,0.01,0,86514,0,0,55498,0,0,27161.714286,61987.642857,34825.928571,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3135-0006,27,3,125.34,104.45,104.45,0,0,0,0,0,0,6,5,5,6,5,5,0,0,0,0,0,0,58,51,51,80,70,70,100,89.4,69.4,69.4,0.006,0.006,0.006,26955,0,0,58020,0,0,19130.133333,47931.666667,28801.533333,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3135-0006,23,4,564.03,292.46,167.12,0,0,0,0,0,0,26,13,7,27,14,8,0,0,0,0,0,0,175,98,49,231,130,64,100,100,53.333333333,26.666666667,0.008,0.0046666667,0.0026666667,25118,0,0,16236,0,0,11323.392857,26764.5,15441.107143,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3135-0006,14,5,480.47,208.9,125.34,0,0,0,0,0,0,23,10,6,23,10,6,0,0,0,0,0,0,210,81,47,258,98,57,0,84.066666667,31.066666667,20,0.0086666667,0.0033333333,0.002,27467,0,0,35529,0,0,13560.888889,29812.666667,16251.777778,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3135-0008,2,3,99.96,99.96,74.97,0,0,0,0,0,0,4,4,3,4,4,3,0,0,0,0,0,0,14,14,11,15,15,12,100,100,100,75,0,0,0,70487,0,0,69105,0,0,25250.5,62558.233333,37307.733333,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3135-0009,25,3,399.84,149.94,24.99,0,0,0,0,0,0,16,6,1,16,6,1,0,0,0,0,0,0,156,71,17,239,112,22,9,69,17.9,0.9,0.012,0.005,0.001,50463,0,0,69654,0,0,19300.8,41654.8,22354,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3135-0009,20,4,624.75,374.85,174.93,0,0,0,0,0,0,24,15,7,25,15,7,0,0,0,0,0,0,412,271,153,655,448,252,55,44.294117647,27.117647059,14.588235294,0.0164705882,0.0111764706,0.0058823529,17087,0,0,24187,0,0,10400.392857,25052.535714,14652.142857,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3135-0009,20,5,499.8,74.97,49.98,0,0,0,0,0,0,20,3,2,20,3,2,0,0,0,0,0,0,276,51,28,403,59,33,24,50.545454545,2.1818181818,2.1818181818,0.0136363636,0.0018181818,0.0009090909,21099,0,0,18588,0,0,8419.2592593,20303.444444,11884.185185,0,0,,0,0,,Pet Products,Pet Products
